Year,Supply:C3cereals,Supply:C3starchyroots,Supply:C3oilcrops,Supply:C3pulses,Supply:C3fruitveg,Supply:C4crops,Supply:Foddercrops,Supply:Pasture,Supply:SusProd,Supply:BioenergyG1,Supply:BioenergyG2,Supply:Softwood,Supply:Hardwood,Supply:SolarEnergy,Supply:FloodControl,Supply:SoilRetention,Supply:Pollination_disp,Supply:Biodiversity,Supply:Ldiversity,Supply:Carbon,Supply:Employment,Supply:Recreation,Supply:CulturalLand,Supply:Identity,Supply:ExpInsp,Demand:C3cereals,Demand:C3starchyroots,Demand:C3oilcrops,Demand:C3pulses,Demand:C3fruitveg,Demand:C4crops,Demand:Foddercrops,Demand:Pasture,Demand:SusProd,Demand:BioenergyG1,Demand:BioenergyG2,Demand:Softwood,Demand:Hardwood,Demand:SolarEnergy,Demand:FloodControl,Demand:SoilRetention,Demand:Pollination_disp,Demand:Biodiversity,Demand:Ldiversity,Demand:Carbon,Demand:Employment,Demand:Recreation,Demand:CulturalLand,Demand:Identity,Demand:ExpInsp
2020,282.53506977108765,70.46799419792238,90.50316261618205,0.0,158.4535123322173,17.68035836581659,260.6303336147929,351.5619064216346,0.0,15.466864356240963,4.101524757659048,217.41688547695787,176.98631603436567,0.0,4186.172899999914,4181.472899999914,0.0,3761.072899999793,5307.331029999981,912.6302888391359,0.0,3761.9728999997938,0.0,0.0,0.0,95.61672599,46.43584551,1.542411052,0.521344266,112.1995874,4.815227921,72.18918907,218.90051,0.0,38.8353095,2.0,278.8655588,150.1583778,418.25,1872588.499,1870601.599,0.0,1683540.299,2418217.229,646913.2055,0.0,1683859.699,0.0,0.0,0.0
2021,282.82826907928495,71.84954964318607,92.76907244447116,0.0,159.33782916286583,17.461362569981198,258.1642080960573,357.0078629066981,0.0,14.418818088859787,4.090968949780643,223.37024289418702,182.51047333146923,0.0,4239.51079999991,4235.010799999911,0.0,3795.910799999766,5305.04755999998,924.542231957826,0.0,3796.810799999766,0.0,0.0,0.0,96.05157408,46.4938471,1.597915543,0.548237842,112.4345655,4.600605582,71.05032882,220.2101467,0.0,39.07190437,0.92664,277.5037698,149.4251068,436.89,1875613.441,1870601.599,0.0,1690495.903,2422123.569,649585.9493,0.0,1690816.622,0.0,0.0,0.0
2022,277.52114806575764,67.77902280242732,82.7472922406577,0.0,141.65712369785487,16.094557590953656,243.7175212001411,350.3059391009789,0.0,14.45387609820968,3.477633275552222,230.4903280398346,188.28101930953426,0.0,4299.592299999966,4295.092299999966,0.0,3836.6922999997687,5295.944609999993,916.5631450711483,0.0,3837.5922999997706,0.0,0.0,0.0,97.63683601,46.37550258,1.542286717,0.595540125,112.5835051,4.495212487,68.49266762,221.0651967,0.0,39.44067302,2.722783333,280.3641923,150.9653343,455.55,1878638.383,1870601.599,0.0,1697505.898,2426029.909,652279.5933,0.0,1697827.947,0.0,0.0,0.0
2023,272.0607856777708,69.26654094017633,84.72443650834263,0.0,143.03295033151798,16.252892064232924,239.53595277343507,337.36729984839707,0.0,13.14772098318056,3.5469748186060523,236.17226239937438,192.7858712304771,0.0,4358.317399999971,4353.817399999972,0.0,3874.117399999757,5297.512179999982,923.5791632153515,0.0,3875.0173999997583,0.0,0.0,0.0,98.44112798,46.18659615,1.533734816,0.625760609,113.5918274,4.351128785,66.09915333,222.1551333,0.0,39.69817768,8.521166667,279.5421698,150.5227068,474.21,1881663.325,1870601.599,0.0,1704570.284,2429936.249,654994.1375,0.0,1704893.673,0.0,0.0,0.0
2024,272.9988696621862,70.21812260722523,85.9727446586503,0.0,144.32460634679862,16.19160633876132,238.35709998955892,338.915236138199,0.0,13.255891383395658,3.3290808869695034,241.93636694571882,197.88220112003947,0.0,4411.490200000016,4407.090200000016,0.0,3911.090199999761,5295.883139999998,939.9845202929043,0.0,3911.890199999761,0.0,0.0,0.0,100.485921,46.29708732,1.408019306,0.693139111,115.275703,4.313557303,63.54207397,222.7682533,0.0,40.36086615,24.95825,283.8989725,152.8686775,492.88,1884688.267,1870601.599,0.0,1711689.061,2433842.588,657729.5819,0.0,1712013.801,0.0,0.0,0.0
2025,273.81105070364987,70.91562568918408,86.68956996230567,0.0,146.2536989793422,15.951457296286506,237.83327097530935,336.8034046531283,0.0,13.251047227817875,3.4284435042802808,241.2700153155706,198.63936573410726,0.0,4465.886800000014,4461.486800000013,0.0,3946.5867999997286,5289.850759999986,944.5710806553672,0.0,3947.386799999728,0.0,0.0,0.0,102.0011386,46.3447657,1.33720336,0.70971603,116.9341839,4.272454271,60.98965598,222.5098233,0.0,40.89931975,32.86665333,283.0758168,152.4254398,511.75,1887713.209,1870601.599,0.0,1718862.229,2437748.928,660485.9265,0.0,1719188.33,0.0,0.0,0.0
2026,265.5543333416464,67.64765851218009,86.79454045373564,0.0,141.87908735812502,15.91804831413716,233.88301040399298,344.993028915632,0.0,12.712367553278737,3.48440691171115,241.67691304891304,199.13459408282878,0.0,4523.065200000019,4518.865200000018,0.0,3984.665199999728,5282.625640000004,948.8364515204861,0.0,3985.4651999997295,0.0,0.0,0.0,105.0065261,46.50183806,1.141183876,0.864374514,117.6787417,5.331207529,46.3757804,223.5749667,0.0,45.10955828,37.39250333,288.5266778,155.3605188,530.42,1890598.603,1870601.599,0.0,1725956.801,2441475.059,663212.07,0.0,1726284.248,0.0,0.0,0.0
2027,268.2166105615122,69.72722061283946,90.29418938020028,0.0,146.62767328547028,16.741984932448062,233.78554982151175,339.69560510936606,0.0,12.756891987418696,3.7851010917377117,241.88171210139572,199.13071115154554,0.0,4573.638600000103,4569.438600000101,0.0,4015.138599999729,5272.597019999978,957.1717568784183,0.0,4015.9385999997303,0.0,0.0,0.0,105.973081,46.26853964,1.097892264,0.98939865,115.2558283,4.90576151,43.88982012,220.8579867,0.0,44.61040789,39.56246333,287.5374212,154.8278422,549.08,1893483.998,1870601.599,0.0,1733103.255,2445201.19,665958.1495,0.0,1733432.058,0.0,0.0,0.0
2028,264.13545889364445,70.2283388919114,88.66476766892556,0.0,143.9734226912762,16.534189793406945,232.28005998387732,344.24414748524845,0.0,12.44282300365294,3.6059892176689763,241.6711402677689,196.53810110460546,0.0,4630.438100000119,4626.238100000121,0.0,4049.138099999728,5276.18666999997,958.3856623633243,0.0,4049.938099999729,0.0,0.0,0.0,105.6759171,45.80027975,1.106929261,1.084913596,111.4670284,4.39343533,43.1328183,218.3349267,0.0,43.13077004,40.82411,293.8538287,158.2289847,567.75,1896369.392,1870601.599,0.0,1740301.591,2448927.321,668724.1651,0.0,1740631.76,0.0,0.0,0.0
2029,259.17284711345593,69.00773434575525,87.93542988446994,0.0,139.2910046974623,16.14693853029354,224.9591366570118,327.6031465609606,0.0,12.296132504076725,3.0385351161747822,242.5012919165116,195.8410591654866,0.0,4692.091100000098,4687.991100000099,0.0,4088.191099999708,5267.043769999986,952.2369113459768,0.0,4088.8910999997092,0.0,0.0,0.0,105.3331243,45.58823673,1.114426272,1.169131232,109.4203062,3.883635079,42.69918442,215.59148,0.0,41.83182182,41.48293667,292.7645673,157.6424593,586.45,1899254.786,1870601.599,0.0,1747551.81,2452653.452,671510.1168,0.0,1747883.354,0.0,0.0,0.0
